Student_ID,Gender,Age,Department,Year,Semester,Subject,Total_Classes,Classes_Attended,Previous_Attendance_Percentage,Assignment_Score,Internal_Marks,Study_Hours_Per_Week,Medical_Leave_Days,Travel_Distance_KM,Previous_Exam_Score,Late_Count,Online_Class_Attendance,Attendance_Percentage,Attendance_Status
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,9,4,75.31,66.3,0.0,12.3,3,6.0,67.1,3,68.6,44.44,Defaulter
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,11,8,75.31,66.3,15.8,12.3,0,6.0,63.4,5,92.5,72.73,Defaulter
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,9,6,75.31,66.3,13.0,12.3,1,6.0,60.0,1,77.2,66.67,Defaulter
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,8,6,75.31,66.3,11.3,12.3,1,6.0,62.2,0,43.0,75.0,Regular
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,10,6,67.5,55.6,11.6,12.3,0,6.0,65.6,2,78.9,60.0,Defaulter
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,11,10,67.5,55.6,16.0,12.3,3,6.0,65.7,2,68.9,90.91,Regular
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,11,6,67.5,55.6,13.4,12.3,0,6.0,66.3,0,59.6,54.55,Defaulter
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,11,7,67.5,55.6,5.7,12.3,0,6.0,68.7,2,46.7,63.64,Defaulter
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Computer Networks,11,4,74.5,54.8,1.9,12.3,2,6.0,61.0,3,95.8,36.36,Defaulter
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Computer Networks,12,8,74.5,54.8,19.3,12.3,1,6.0,63.4,0,49.5,66.67,Defaulter
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Computer Networks,12,9,74.5,54.8,14.5,12.3,2,6.0,62.8,0,60.0,75.0,Regular
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Computer Networks,10,7,74.5,54.8,15.7,12.3,0,6.0,65.4,1,53.5,70.0,Defaulter
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,8,4,55.8,61.8,11.9,12.3,0,6.0,64.8,1,62.9,50.0,Defaulter
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,12,8,55.8,61.8,9.5,12.3,0,6.0,69.5,3,31.4,66.67,Defaulter
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,11,7,55.8,61.8,3.7,12.3,1,6.0,60.2,2,78.4,63.64,Defaulter
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,12,9,55.8,61.8,21.7,12.3,0,6.0,59.5,1,79.8,75.0,Regular
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Software Engineering,9,6,66.92,53.5,18.7,12.3,0,6.0,65.2,1,56.1,66.67,Defaulter
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Software Engineering,10,8,66.92,53.5,13.1,12.3,3,6.0,63.1,2,77.7,80.0,Regular
STU0001,Female,19,Computer Engineering,Third Year,Fifth Semester,Software Engineering,12,9,66.92,53.5,14.6,12.3,0,6.0,71.8,1,75.6,75.0,Regular
